hospital_id,hospital_name,latitude,longitude,er_admissions,bed_availability,ambulance_arrivals,staff_capacity,total_beds,status
H001,KEM Hospital,19.002,72.842,50,20,5,80,100,Green
H002,Sion Hospital,19.046,72.860,30,40,2,90,80,Green
H003,Tata Memorial Hospital,19.003,72.845,80,5,10,70,120,Yellow
H004,Lilavati Hospital,19.051,72.829,40,30,3,85,90,Green
H005,Nanavati Hospital,19.096,72.840,60,15,6,75,110,Green
H006,Breach Candy Hospital,18.972,72.804,25,50,1,95,70,Green
H007,Jaslok Hospital,18.971,72.809,70,10,8,65,130,Green
H008,P.D. Hinduja Hospital,19.033,72.838,90,2,12,60,150,Red
H009,Kokilaben Dhirubhai Ambani Hospital,19.131,72.822,35,35,4,88,85,Green
H010,Dr L H Hiranandani Hospital,19.119,72.917,55,18,7,78,105,Green
H011,Fortis Hospital Mulund,19.161,72.943,45,25,5,82,95,Green
H012,Sir J.J. Group of Hospitals,18.962,72.834,20,60,0,98,60,Green
H013,H.N. Reliance Foundation Hospital,18.959,72.819,40,30,3,90,100,Green
H014,Wockhardt Hospital,18.974,72.825,55,15,6,80,110,Yellow
H015,Global Hospital,18.999,72.840,35,45,2,85,90,Green
H016,Saifee Hospital,18.953,72.822,60,10,7,70,120,Yellow
H017,Holy Family Hospital,19.054,72.827,25,55,1,92,80,Green
H018,Cooper Hospital,19.108,72.836,75,5,9,65,130,Red
H019,SevenHills Hospital,19.116,72.879,45,25,4,88,95,Green
H020,Bombay Hospital,18.940,72.829,30,40,3,85,100,Green
H021,Hinduja Healthcare Surgical,19.068,72.835,20,30,2,70,60,Green
H022,Holy Spirit Hospital,19.123,72.865,45,20,5,80,110,Yellow
H023,K.J. Somaiya Hospital,19.046,72.874,35,50,4,90,120,Green
H024,Kohinoor Hospital,19.069,72.889,25,45,2,75,80,Green
H025,Masina Hospital,18.973,72.833,15,60,1,60,80,Green
H026,Prince Aly Khan Hospital,18.967,72.839,40,25,4,80,100,Yellow
H027,S.L. Raheja Hospital,19.043,72.841,50,15,6,85,90,Red
H028,St. Elizabeth's Hospital,18.955,72.815,20,55,2,65,70,Green
H029,Sushrusha Hospital,19.025,72.838,30,35,3,70,80,Green
H030,Wadia Hospital,19.006,72.843,45,20,5,80,110,Yellow
H031,Bhabha Hospital,19.058,72.833,60,10,8,75,120,Red
H032,Shatabdi Hospital,19.049,72.906,55,15,7,80,130,Yellow
H033,Rajawadi Hospital,19.073,72.898,65,5,9,85,140,Red
H034,V.N. Desai Hospital,19.080,72.845,40,30,4,70,90,Green
H035,Lifeline Medicare Hospital,19.165,72.842,30,25,3,60,70,Green
H036,Siddharth Hospital,19.158,72.845,40,15,5,70,80,Yellow
H037,SRV Hospital,19.162,72.850,20,40,2,65,75,Green
H038,Kapadia Multispeciality Hospital,19.168,72.840,25,30,3,60,70,Green
H039,Suvidha Hospital,19.170,72.848,35,20,4,65,80,Yellow
H040,Apollo Hospitals Navi Mumbai,19.018,73.023,60,25,8,90,150,Green
H041,MGM Hospital Vashi,19.074,72.998,50,30,5,85,120,Green
H042,D Y Patil Hospital,19.042,73.026,70,15,10,95,200,Red
H043,Fortis Hiranandani Hospital Vashi,19.076,72.997,45,20,6,80,100,Yellow
H044,Reliance Hospital Kopar Khairane,19.103,73.011,35,40,3,75,90,Green
H045,Terna Speciality Hospital,19.038,73.018,40,35,4,80,110,Green
H046,Cloudnine Hospital Vashi,19.072,72.999,25,50,2,70,80,Green
